model,threshold_method,f1,precision,recall
mtad_gat_sparsemax_vae,bf_result,0.9347372493431813,0.9154666390205106,0.9576852996521632
mtad_gat_gru,bf_result,0.9331409683572942,0.9300651030321309,0.939678366851064
mtad_gat_sparsemax_vae_node,bf_result,0.9233935023090609,0.8927402515104211,0.9588875839815686
mtad_gat_vae,bf_result,0.9215330897017138,0.9331129362705594,0.914607141994123
mtad_gat_gru,epsilon_result,0.7354871768430594,0.991840027854548,0.5939324659224234
mtad_gat_sparsemax_vae,epsilon_result,0.40544927477782927,0.6605209680807068,0.29253897275848567
mtad_gat_vae,epsilon_result,0.3926408231635958,0.6603409332812243,0.2794335597650846
mtad_gat_sparsemax_vae_node,epsilon_result,0.3849146075433015,0.9109259201303344,0.27093356369078564
mtad_gat_gru,pot_result,0.9146928270629866,0.9724174169354373,0.8634830836564484
mtad_gat_sparsemax_vae,pot_result,0.9111024781951654,0.9645217930280753,0.8634830836564484
mtad_gat_sparsemax_vae_node,pot_result,0.8948925908317514,0.9067396719584003,0.8950430473033378
mtad_gat_vae,pot_result,0.8944956986472284,0.9764050269631849,0.8265128405272351
